file,spec,vars_count,rows_vars,rows_complete,countries_complete,year_min_complete,year_max_complete
01_Baseline_Average_Effect_dynamic_panel.xlsx,M1,20,1925,1803,76,1996,2019
01_Baseline_Average_Effect_dynamic_panel.xlsx,M2,23,1925,1715,73,1996,2019
01_Baseline_Average_Effect_dynamic_panel.xlsx,M3,24,1925,1689,73,1996,2019
02_Populism_x_Openness_dynamic_panel.xlsx,M1,22,1925,1722,73,1996,2019
02_Populism_x_Openness_dynamic_panel.xlsx,M2,24,1925,1715,73,1996,2019
02_Populism_x_Openness_dynamic_panel.xlsx,M3,25,1925,1689,73,1996,2019
03_Populism_x_Democracy_dynamic_panel.xlsx,M1,22,1925,1803,76,1996,2019
03_Populism_x_Democracy_dynamic_panel.xlsx,M2,25,1925,1715,73,1996,2019
03_Populism_x_Democracy_dynamic_panel.xlsx,M3,26,1925,1689,73,1996,2019
04_Populism_x_Region_dynamic_panel.xlsx,M1,31,1925,1803,76,1996,2019
04_Populism_x_Region_dynamic_panel.xlsx,M2,34,1925,1715,73,1996,2019
04_Populism_x_Region_dynamic_panel.xlsx,M3,35,1925,1689,73,1996,2019
05_PCA_Supplementary_dynamic_panel.xlsx,M1,10,1925,1803,76,1996,2019
05_PCA_Supplementary_dynamic_panel.xlsx,M2,13,1925,1715,73,1996,2019
05_PCA_Supplementary_dynamic_panel.xlsx,M3,14,1925,1689,73,1996,2019
06_Double_Machine_Learning_dynamic_panel.xlsx,DML_main,29,1925,1689,73,1996,2019
07_Americas_DML_dynamic_panel_optional.xlsx,DML_Americas,29,225,193,9,1996,2019
