country_text_id,country_name,year,rule_based_governance_t_minus_1,v2x_rule_t,populism_gov_election_raw,populism_gov_annual,populism_gov_annual_l1,populism_gov_annual_l2,within_module_degree_zscore_w,within_module_degree_zscore_w_t_minus_1,algebraic_connectivity_vitality_w,algebraic_connectivity_vitality_w_t_minus_1,efficiency_vitality_w,efficiency_vitality_w_t_minus_1,flow_betweenness_log1p_w,flow_betweenness_log1p_w_t_minus_1,communicability_betweenness_asinh_w,communicability_betweenness_asinh_w_t_minus_1,shannon_entropy_w,shannon_entropy_w_t_minus_1,participation_coefficient_w,participation_coefficient_w_t_minus_1,laplacian_centrality_log_w,laplacian_centrality_log_w_t_minus_1,ln_gdp_t_minus_2,ln_tradeopen_t_minus_2,asinh_fdi_t_minus_2,asinh_inflation_winsor_t_minus_2,sample_modelB_C_common_rawIV,source_election_year,historical_fill_source_year,historical_fill_value,historical_prefill_applied,is_election_year_observed,ln_gdp_t_minus_2_source_year,ln_tradeopen_t_minus_2_source_year,asinh_fdi_t_minus_2_source_year,asinh_inflation_winsor_t_minus_2_source_year,sample_all_8_indicators_rawIV
BRA,Brazil,1996,0.713,0.716,,0.2001403269754769,0.2001403269754769,0.2001403269754769,-0.512067202,-0.355548325,0.002254162,0.012220801,-0.001037295,0.000784586,9.286207157,9.562439528,2.587783611,2.691001836,3.282804922,3.234306275,0.637122656,0.498818531,-4.252892305,-4.172575437,26.98736833027838,2.927172868612321,0.555687756571425,6.807420572948996,1,1994,1990,0.2575249999999999,0,0,1994,1994,1994,1994,1
BRA,Brazil,1997,0.716,0.718,,0.2001403269754769,0.2001403269754769,0.2001403269754769,-0.507502041,-0.512067202,0.00221235,0.002254162,0.001040605,-0.001037295,9.547437155,9.286207157,2.591213665,2.587783611,3.238018242,3.282804922,0.625974387,0.637122656,-4.172256267,-4.252892305,27.36879017210851,2.83229880830147,0.5957201557303204,4.882965860846376,1,1994,1990,0.2575249999999999,0,0,1995,1995,1995,1995,1
BRA,Brazil,1998,0.718,0.718,0.1675196743554953,0.1675196743554953,0.2001403269754769,0.2001403269754769,-0.516668819,-0.507502041,0.003348593,0.00221235,-0.000207191,0.001040605,9.746225077,9.547437155,2.537607182,2.591213665,3.23387085,3.238018242,0.600358661,0.625974387,-4.218017939,-4.172256267,27.46900374651563,2.749549820599299,1.181356854275145,3.451479445275089,1,1998,1990,0.2575249999999999,0,1,1996,1996,1996,1996,1
BRA,Brazil,1999,0.718,0.718,,0.1675196743554953,0.1675196743554953,0.2001403269754769,-0.527227421,-0.516668819,0.002844549,0.003348593,0.000813674,-0.000207191,9.520718003,9.746225077,2.457121906,2.537607182,3.214004634,3.23387085,0.605371446,0.600358661,-4.290371125,-4.218017939,27.50682481859645,2.807968490474767,1.508964046009721,2.633702812262726,1,1998,1990,0.2575249999999999,0,0,1997,1997,1997,1997,1
BRA,Brazil,2000,0.718,0.73,,0.1675196743554953,0.1675196743554953,0.1675196743554953,-0.569359636,-0.527227421,0.003070965,0.002844549,0.004051614,0.000813674,9.667821595,9.520718003,2.654077147,2.457121906,3.220431515,3.214004634,0.623702162,0.605371446,-4.177563554,-4.290371125,27.48450406753664,2.799631310996793,1.921064787319284,1.878393935419199,1,1998,1990,0.2575249999999999,0,0,1998,1998,1998,1998,1
BRA,Brazil,2001,0.73,0.73,,0.1675196743554953,0.1675196743554953,0.1675196743554953,-0.499063487,-0.569359636,0.002494038,0.003070965,0.006159281,0.004051614,10.13380152,9.667821595,2.945835094,2.654077147,3.274558459,3.220431515,0.620267431,0.623702162,-4.07288566,-4.177563554,27.11959877250157,3.043672861406167,2.258843309750229,2.284292911386828,1,1998,1990,0.2575249999999999,0,0,1999,1999,1999,1999,1
BRA,Brazil,2002,0.73,0.722,0.4101565557729941,0.4101565557729941,0.1675196743554953,0.1675196743554953,-0.467358297,-0.499063487,0.002111833,0.002494038,0.002779174,0.006159281,9.94835138,10.13380152,2.859323206,2.945835094,3.320060732,3.274558459,0.634935151,0.620267431,-4.184733579,-4.07288566,27.20858509546916,3.119707712598135,2.319068438966157,2.650344039350283,1,2002,1990,0.2575249999999999,0,1,2000,2000,2000,2000,1
BRA,Brazil,2003,0.722,0.722,,0.4101565557729941,0.4101565557729941,0.1675196743554953,-0.464089887,-0.467358297,0.002920236,0.002111833,0.000335484,0.002779174,9.968180823,9.94835138,2.806599641,2.859323206,3.341208211,3.320060732,0.640244285,0.634935151,-4.253953541,-4.184733579,27.05117352042036,3.293474263364379,2.129901210942172,2.621288043938946,1,2002,1990,0.2575249999999999,0,0,2001,2001,2001,2001,1
BRA,Brazil,2004,0.722,0.722,,0.4101565557729941,0.4101565557729941,0.4101565557729941,-0.393225529,-0.464089887,0.005932267,0.002920236,0.001009818,0.000335484,10.05102993,9.968180823,3.093501448,2.806599641,3.365944331,3.341208211,0.643062611,0.640244285,-4.204297741,-4.253953541,26.95727505204114,3.318480675094541,1.895724619248369,2.830815971164036,1,2002,1990,0.2575249999999999,0,0,2002,2002,2002,2002,1
BRA,Brazil,2005,0.722,0.795,,0.4101565557729941,0.4101565557729941,0.4101565557729941,-0.395713438,-0.393225529,0.003660812,0.005932267,0.001165759,0.001009818,10.10466558,10.05102993,3.011842848,3.093501448,3.379418123,3.365944331,0.654484029,0.643062611,-4.138038176,-4.204297741,27.04804357214038,3.33720572328962,1.356930191820928,3.383161692784548,1,2002,1990,0.2575249999999999,0,0,2003,2003,2003,2003,1
