country,year,algebraic_connectivity_vitality_w,efficiency_vitality_w,flow_betweenness_log1p_w,communicability_betweenness_asinh_w,shannon_entropy_w,participation_coefficient_w,within_module_degree_zscore_w,laplacian_centrality_log_w
AGO,1995,0.069807261,-0.01189188,8.737757207,0.331322215,2.530189363,0.497377055,-0.545331847,-5.683938378
AGO,1996,0.069255781,-0.011704286,8.801765813,0.448676117,2.664457033,0.584861118,-0.613584217,-5.56152929
AGO,1997,0.06678185,-0.01070729,8.850647742,0.411992712,2.516228161,0.600370637,-0.616807854,-5.544897164
AGO,1998,0.055939018,-0.014406233,8.732519584,0.204773037,2.521820222,0.602194031,-0.625760763,-5.913922564
AGO,1999,0.067338684,-0.012289405,8.959206389,0.405778236,2.5963247,0.636165879,-0.620131948,-5.607651359
AGO,2000,0.054318856,-0.015539554,8.841530706,0.268164769,2.654151057,0.658809884,-0.759211757,-5.868130723
AGO,2001,0.184215004,-0.012381183,9.519071238,0.918542098,2.652804146,0.641058702,-0.627789655,-5.497437309
AGO,2002,0.089006687,-0.015439895,9.237141652,0.532004548,2.832525872,0.632407737,-0.600262354,-5.738327958
AGO,2003,0.058924802,-0.015471376,9.174771534,0.362583146,2.679022749,0.659837099,-0.603556326,-5.797719817
AGO,2004,0.188150579,-0.016184418,9.191568896,0.915888235,2.63895582,0.662495798,-0.575520885,-5.857781566
AGO,2005,0.249227516,-0.012503272,9.675047804,1.760645376,2.77926645,0.662342889,-0.563365937,-5.38233657
AGO,2006,0.207147033,-0.013066487,9.543099109,1.501464511,2.671968399,0.453290819,-0.574971147,-5.408386283
AGO,2007,0.28946214,-0.011191799,9.870025108,2.321013298,2.875119703,0.459624013,-0.560172947,-5.15599141
AGO,2008,0.290314523,-0.006514486,9.969761667,2.656727174,2.854374602,0.658637412,-0.606262949,-4.744782315
AGO,2009,0.22785523,-0.006623737,9.883376007,2.475142644,2.874108501,0.660009288,-0.524975207,-4.694732377
AGO,2010,0.177936157,-0.006533261,9.753233544,2.052164099,2.733822257,0.649523934,-0.655396043,-4.82254814
AGO,2011,0.16471351,-0.008054848,9.830739314,1.963189821,2.775262671,0.651305691,-0.642120118,-4.79207065
AGO,2012,0.325636098,-0.006122077,9.653955343,2.848707188,2.772352464,0.636368581,-0.64512028,-4.772616411
AGO,2013,0.315310531,-0.00681659,9.467551823,2.508509913,2.774823745,0.611791822,-0.607449892,-4.796110377
AGO,2014,0.182184208,-0.007736797,9.12517127,1.703929106,2.806246738,0.606872387,-0.592619085,-4.998328336
AGO,2015,0.012881365,-0.015999793,8.686666935,0.340020694,2.962935152,0.58658266,-0.704493184,-5.820442928
AGO,2016,0.027611086,-0.01763469,8.686358431,0.22944721,2.86688851,0.593375087,-0.700918719,-6.111810113
AGO,2017,0.073723641,-0.015958135,8.884627655,0.440821317,2.762916954,0.586665805,-0.68647237,-5.93040482
AGO,2018,0.111205549,-0.013413908,9.086013293,0.682494577,2.742579236,0.583833356,-0.636855579,-5.651896251
AGO,2019,0.054092942,-0.015606003,8.762407128,0.258248761,2.596652757,0.557507834,-0.649085756,-5.971866647
ARE,1995,0.000432166,-0.008804142,9.678246074,0.972577721,2.935005206,0.426619982,-0.435760985,-5.182984976
ARE,1996,0.001218814,-0.005338027,9.756232816,1.435564969,2.965146334,0.52433703,-0.385853911,-4.818544859
ARE,1997,0.001072674,-0.004975033,9.94887293,1.4003622,2.941403,0.496134473,-0.409435026,-4.834663857
ARE,1998,0.000790701,-0.011186709,10.12328509,1.374339594,3.116892262,0.538468317,-0.465549649,-5.087010959
ARE,1999,0.001188791,-0.011983374,9.924419115,1.336543193,3.089982264,0.543821587,-0.500178129,-5.157256963
ARE,2000,0.001399838,-0.008434558,10.09436587,1.481232014,3.009952647,0.526438662,-0.384198237,-4.951896921
ARE,2001,0.001012622,-0.009966724,10.49364679,1.547643158,3.083857894,0.543080686,-0.440890453,-4.928453461
ARE,2002,0.001360911,-0.008681468,10.47596819,1.70245027,3.120497838,0.549973189,-0.438177981,-4.76426264
ARE,2003,0.0017077,-0.005329005,10.64045359,2.001826206,3.070118576,0.528528261,-0.358914228,-4.594448272
ARE,2004,0.000330068,-0.003983524,10.81685243,2.147154723,3.020411845,0.524610351,-0.3133902,-4.417246268
ARE,2005,0.000662649,-0.002955206,10.86559461,2.393853751,3.060325438,0.505902192,-0.239764669,-4.366991984
ARE,2006,0.002649533,-0.001303468,10.88757178,2.764365096,3.072913398,0.435438882,-0.25467032,-4.095120883
ARE,2007,0.00388844,-0.00230317,10.96086444,2.981657121,3.149958996,0.424718526,-0.226088205,-4.100385492
ARE,2008,0.001896229,0.002515934,10.91239279,3.329633135,3.12694495,0.499651191,0.033482172,-3.869624654
ARE,2009,0.004396917,0.005747348,10.99913508,3.602224704,3.094657406,0.519783963,0.072474058,-3.573349052
ARE,2010,0.007715592,0.001759822,10.84156588,3.332472108,3.109833545,0.49184305,-0.061729979,-3.841441297
ARE,2011,0.006136136,0.001314493,10.8743878,3.336648246,3.068595958,0.474057373,-0.036974107,-3.75261902
ARE,2012,0.00568993,0.000571754,10.72682822,3.361479291,3.057477171,0.457464391,-0.036306236,-3.757924584
ARE,2013,0.006110942,0.001135863,10.50317732,3.319601264,3.059860628,0.435131714,-0.031706559,-3.824324036
ARE,2014,0.008493893,0.000614155,10.35264624,3.51611865,3.101841872,0.451562771,0.081401803,-3.686415652
ARE,2015,0.012903943,-0.001645595,10.38098128,3.423958292,3.190901037,0.508279222,-0.04863373,-3.720912931
ARE,2016,0.012955903,-0.002022199,10.69605506,3.578757983,3.214642848,0.522887736,0.009816013,-3.696809373
ARE,2017,0.015768427,0.005157502,10.89927704,3.696866479,3.155751994,0.470688781,0.091752574,-3.562163846
ARE,2018,0.008464235,0.003426994,10.85256738,3.611893524,3.208643129,0.478697374,0.03969865,-3.696136765
ARE,2019,0.011736833,0.006973733,10.93996634,3.799146283,3.196381144,0.476370407,0.149916902,-3.525075291
ARG,1995,0.001175665,-0.016648852,9.186176808,0.62187192,3.188839372,0.496182693,-0.510723834,-5.594509144
ARG,1996,0.003825359,-0.016126453,9.034158412,0.747803898,3.218042155,0.631797024,-0.593090873,-5.513703584
ARG,1997,0.002783334,-0.014356025,9.333832939,0.933346499,3.197652381,0.63359323,-0.584600916,-5.38354067
ARG,1998,0.001753329,-0.014871228,9.599959828,0.896096791,3.190374905,0.62472927,-0.583078217,-5.385206206
ARG,1999,0.001886829,-0.015915747,9.322168334,0.7267258,3.174658526,0.620364474,-0.594069043,-5.556756026
ARG,2000,0.001952008,-0.014965342,9.260374668,0.718200284,3.140818993,0.622295561,-0.645678875,-5.607737747
ARG,2001,0.001101891,-0.014860964,9.578616081,0.65934298,3.122906894,0.618713643,-0.597529024,-5.672674582
ARG,2002,0.001489529,-0.016421004,9.36192596,0.631669092,3.115181655,0.606732241,-0.564804242,-5.817518299
ARG,2003,0.001680005,-0.016236056,9.489959571,0.706815512,3.112641065,0.614328312,-0.559283814,-5.749975744
ARG,2004,0.001202142,-0.015357257,9.623394436,0.809613182,3.095657178,0.613095992,-0.517283177,-5.631065705
ARG,2005,0.000685993,-0.014992979,9.70116262,0.957125025,3.131357145,0.617944126,-0.519622954,-5.562956577
ARG,2006,0.000447054,-0.015050937,9.558575771,0.93751396,3.167125596,0.420887412,-0.541839212,-5.549865279
ARG,2007,0.000174062,-0.014576354,9.594345075,0.98257239,3.158954338,0.421383621,-0.546907918,-5.439133745
ARG,2008,0.000404927,-0.012909151,9.464432613,1.032252794,3.103165443,0.660746983,-0.593307967,-5.271108702
ARG,2009,0.000364647,-0.01361698,9.311506997,0.98440343,3.161359918,0.660981706,-0.515734329,-5.346010623
ARG,2010,0.000321235,-0.012617783,9.423306753,1.005767523,3.135354403,0.608365924,-0.630732606,-5.217916508
ARG,2011,0.000382124,-0.012118397,9.492188406,1.073136178,3.14315198,0.612739127,-0.614147373,-5.152229216
ARG,2012,0.000225242,-0.013177911,9.283047447,0.967246963,3.178607321,0.644940197,-0.603924924,-5.233299585
ARG,2013,0.000334088,-0.012936679,9.017472512,0.909293199,3.153509891,0.60400701,-0.622610643,-5.247956056
ARG,2014,0.000508558,-0.015214213,8.683196748,0.675648442,3.187920676,0.61816676,-0.606843167,-5.387200166
ARG,2015,0.000952697,-0.016635606,8.708902914,0.599032366,3.246380106,0.662495798,-0.663301038,-5.461559381
ARG,2016,0.001033857,-0.016580033,9.061906476,0.675546678,3.285890133,0.662495798,-0.722567528,-5.478324324
ARG,2017,0.001118357,-0.016446652,9.155170886,0.702015753,3.301854788,0.662495798,-0.804447635,-5.495193692
ARG,2018,0.000819509,-0.016356524,9.114676336,0.664612973,3.317872234,0.662495798,-0.812925797,-5.534990532
ARG,2019,0.000581736,-0.017714156,8.982272107,0.593981658,3.365036161,0.607025371,-0.606291736,-5.620373102
AUS,1995,0.001066363,0.002563812,10.30633852,3.102163646,3.126707271,0.388913902,-0.126958118,-4.009678393
